item_id,label,orig_len,opt_len,len_diff,orig_caption,opt_caption
36873933723,1.1375035237499351,131,113,18,Motion alarm stawell 1 : Motion alarm (CAM1) from D1GRDN1S(10.0.0.5) at     2017/10/07 15:29:27.Attach: Alarm20171007152927_No1.jpg,"Capturing the moment as a train crosses the tracks, showcasing the intersection of transportation and rural life."
36832126664,1.0473057147783564,69,50,19,Fall foliage Nash-Jackson house Battlefield Park Stoney Creek (2) nan,Autumn hues at Nash-Jackson House Battlefield Park
23691649138,1.0931094043914815,21,41,20,Peach Pit @ Bar Robo ,Peach Pit @ Bar Robo: Raw Energy on Stage
36873392903,0.9510903995190536,51,72,21,Thalia Magalhães Processed with VSCO with c8 preset,"Basking in the serenity of nature, surrounded by vibrant bougainvilleas."
37541705581,1.1630280686796337,35,57,22,( + ) Lotus & drop_2017-10-07 + nan,Nature's Artistry: A Drop Mirrors the Lotus Leaf's Colors
49105825707,1.1426398312093415,80,103,23,The old railway track between Yarmouth and Freshwater. 🏃‍♂️ November 22 2019 nan,Step into the past: Discover the serene charm of the old railway track between Yarmouth and Freshwater.
49104982441,1.159198594849254,14,38,24,Tokyo Taxi nan,Tokyo Taxi Ride: A Nighttime Adventure
37475711462,1.0,39,63,24,nan Processed with VSCO with ke1 preset,Escape to nature's tranquility at this stunning mountain vista.
49107329878,0.9510903995190536,127,103,24,First pics of Angkor Wat temple 😊 Sunrise time.  Siem Reap. Cambodia  Nov 2019 #itravelanddance                                ,"Sunrise at Angkor Wat: A breathtaking moment in Siem Reap, Cambodia 🌅 #travelblogger #sunsetatangkorwat"
49105070183,1.1375035237499351,52,78,26,"22/11/2019 Luis Tudanca Visita INTUR, Valladolid nan","Luis Tudanca visits INTUR in Valladolid, showcasing local culture and tourism!"
49107624712,1.0,90,63,27,Caitlyn Jenner falls out of a window and has I m A Celeb viewers in hysterics via Blogger ,Caitlyn Jenner's fall sparks laughter among 'I'm A Celeb' fans!
37475973642,1.1375035237499351,21,48,27,In the Pumpkin Field ,Scarecrow Sentinel in the Pumpkin Patch at Night
37490184946,1.115477217419936,40,68,28,Vegetables Vegetables at a French market,Explore the colorful world of fresh vegetables at your local market!
49107876586,1.0931094043914815,29,58,29,BAC W Basketball 11/22/19 nan,Dynamic Action at Belmont Abbey College Basketball Game! 🏀
37247883420,1.0473057147783564,16,45,29,BG9A6701.jpg nan,Dance Together: A Joyful Moment of Connection
49107905487,1.159198594849254,25,56,31,A trick of the light. nan,Nature's art: how sunlight dances around the tree trunk.
37458810246,1.115477217419936,40,72,32,20170617 1230 PENTAX K-1 0519 400 mm nan,"A classic Spitfire in flight, a symbol of World War II aviation history."
49107021487,1.0,37,70,33,"Vivere ardendo, non bruciarsi mai nan","Illuminate your night with the soft, comforting light of this lantern."
23653025668,1.1375035237499351,157,123,34,Blink s stitches are finally out! Her brother Neil DGT has been taking care of her now that she s not so scary looking. #oneeyedkitten #kittensofbushwick nan,"Meet Neil DGT, the kitten who took care of his one-eyed sister after her stitches were removed! 🐱❤️ #kittens #recoverystory"
49107142952,1.1375035237499351,39,76,37,#tourdargentmatabiau View on Instagram ,#tourdargentmatabiau Capturing the night's quiet beauty in an urban setting.
36833466343,0.9004643264490856,178,139,39,"Fashion Camp s newest members, Katie & Tessa, just finished up these super cute birthday gifts for their little sister - she is surely going to love them! ❤️👭❤️👭❤️ via Instagram ","Fashion Camp's newest members, Katie & Tessa, just finished up these super cute Shopkins-themed birthday gifts for their little sister! 🎉🎁✨"
37458525516,0.9004643264490856,260,221,39,Day 4 of #inktober2017 and today s rocket is the Sputnik launcher that put Sputnik-1 into low Earth orbit on this day 60 years ago. #sciencecomicsrockets #intospacewego #sputnik #nasa #rockets #inktober #illustration #drawings #brushpen #crayons via Instagram ,"Day 4 of #inktober2017: Drawing the Sputnik launcher, marking its 60th anniversary in space exploration. 🚀✨ #sciencecomicsrockets #intospacewego #sputnik #nasa #rockets #inktober #illustration #drawings #brushpen #crayons"
